id,title,author_count,type,publisher,link
85109066507,How to Better Understand the Influence of Host Genetics on Developing an Effective Immune Response to Thoracic Cancers,6,Review,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109066507&origin=inward
85091053509,Voluntary exercise in mesothelioma: effects on tumour growth and treatment response in a murine model,7,Article,BioMed Central Ltd info@biomedcentral.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091053509&origin=inward
85119456981,Immune checkpoint inhibitor therapy for malignant pleural mesothelioma,4,Review,Elsevier Ireland Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119456981&origin=inward
85103899475,In vivo noninvasive preclinical tumor hypoxia imaging methods: a review,7,Review,Taylor and Francis Ltd.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103899475&origin=inward
85087693251,Immunopathology and immunotherapeutic strategies in severe acute respiratory syndrome coronavirus 2 infection,6,Review,John Wiley and Sons Ltdcs-journals@wiley.co.uk,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087693251&origin=inward
85083574480,Coronavirus disease 2019 (COVID-19): A literature review,10,Review,Elsevier Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083574480&origin=inward
85091633874,Enhancing the efficacy of immunotherapy using radiotherapy,5,Review,John Wiley and Sons Incinfo@wiley.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091633874&origin=inward
85130908036,Comprehensive Testing of Chemotherapy and Immune Checkpoint Blockade in Preclinical Cancer Models Identifies Additive Combinations,13,Article,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130908036&origin=inward
85128981598,Interferons limit autoantigen-specific CD8+ T-cell expansion in the non-obese diabetic mouse,17,Article,Elsevier B.V.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128981598&origin=inward
85136581324,What is Kindness in Science and why does it matter?,4,Note,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136581324&origin=inward
85105643650,Malignant Pleural Effusions—A Window Into Local Anti-Tumor T Cell Immunity?,7,Review,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105643650&origin=inward
85096648499,Tumor Infiltrating Effector Memory Antigen-Specific CD8+ T Cells Predict Response to Immune Checkpoint Therapy,18,Article,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096648499&origin=inward
85094615619,Characteristics of TCR Repertoire Associated With Successful Immune Checkpoint Therapy Responses,9,Review,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094615619&origin=inward
85071196256,Impaired T cell proliferation by ex vivo BET-inhibition impedes adoptive immunotherapy in a murine melanoma model,10,Article,"Taylor and Francis Inc.325 Chestnut St, Suite 800PhiladelphiaPA 19106",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85071196256&origin=inward
85130555503,BAP1 Loss by Immunohistochemistry Predicts Improved Survival to First-Line Platinum and Pemetrexed Chemotherapy for Patients With Pleural Mesothelioma: A Validation Study,15,Article,Elsevier Inc.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130555503&origin=inward
85124586649,"Analysis of early pleural fluid samples in patients with mesothelioma: A case series exploration of morphology, BAP1, and CDKN2A status with implications for the concept of mesothelioma in situ in cytology",8,Article,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124586649&origin=inward
85107849841,Diagnostic utility of BAP1 for malignant pleural mesothelioma in pleural fluid specimens with atypical morphology,6,Article,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107849841&origin=inward
85118884097,Malignant Pleural Mesothelioma: Updates for Respiratory Physicians,3,Review,W.B. Saunders,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118884097&origin=inward
85102657314,Clump material within drainage chest tubes contains diagnostic information: A proof-of-concept case series,6,Letter,European Respiratory Society,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85102657314&origin=inward
85097909331,Hyaluronic acid in viscous malignant mesothelioma pleural effusion,5,Article,Blackwell Publishing Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85097909331&origin=inward
85094220966,Histologically Diverse BAP1-Deficient Melanocytic Tumors in a Patient With BAP1 Tumor Predisposition Syndrome,7,Article,Lippincott Williams and Wilkins,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85094220966&origin=inward
85090064248,ALK positive malignant peritoneal mesothelioma mimicking inflammatory myofibroblastic tumour: a diagnostic pitfall,5,Letter,Elsevier B.V.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090064248&origin=inward
85067524740,Advances in pathological diagnosis of mesothelioma: What pulmonologists should know,5,Review,Lippincott Williams and Wilkinskathiest.clai@apta.org,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85067524740&origin=inward
85063981972,Anti-inflammatory potential of human corneal stroma-derived stem cells determined by a novel in vitro corneal epithelial injury model,5,Article,"Baishideng Publishing Group Co7901 Stoneridge Drive, Suite 501PleasantonCalifornia94588bpg@baishideng.com",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063981972&origin=inward
85130863595,"Hospitalizations in solid tumor phase I clinical trial patients: Incidence, pattern and clinical outcomes at an Australian phase I clinical trial unit",5,Article,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130863595&origin=inward
85101801004,The Current Lung Cancer Neoantigen Landscape and Implications for Therapy,4,Review,Elsevier Inc.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101801004&origin=inward
85085962637,Detection of Low-level EGFR c.2369 C > T (p.Thr790Met) Resistance Mutation in Pre-treatment Non-small Cell Lung Carcinomas Harboring Activating EGFR Mutations and Correlation with Clinical Outcomes,7,Article,Springer Science and Business Media B.V.editorial@springerplus.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085962637&origin=inward
85056309475,Programmed death ligand-1 expression in non-small cell lung cancer in a Western Australian population and correlation with clinicopathologic features,6,Article,"Nature Publishing GroupHoundmillsBasingstoke, HampshireRG21 6XS",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056309475&origin=inward
85060658608,Immunotherapy strategies for mesothelioma–the role of tumor specific neoantigens in a new era of precision medicine,4,Review,Taylor and Francis Ltd.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85060658608&origin=inward
85136626306,Temporally restricted activation of IFNβ signaling underlies response to immune checkpoint therapy in mice,16,Article,Nature Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136626306&origin=inward
85135895932,Cancer chemotherapy: insights into cellular and tumor microenvironmental mechanisms of action,5,Review,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135895932&origin=inward
85128265445,"Retinoic Acid Induces an IFN-Driven Inflammatory Tumour Microenvironment, Sensitizing to Immune Checkpoint Therapy",11,Article,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128265445&origin=inward
85051127218,Combination immune checkpoint blockade as an effective therapy for mesothelioma,13,Article,"Taylor and Francis Inc.325 Chestnut St, Suite 800PhiladelphiaPA 19106",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051127218&origin=inward
85028406988,Extracellular NAMPT/visfatin causes p53 deacetylation via NAD production and SIRT1 activation in breast cancer cells,5,Article,"John Wiley and Sons LtdSouthern GateChichester, West SussexPO19 8SQvgorayska@wiley.com",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85028406988&origin=inward
85123816168,Protocol of DREAM3R: DuRvalumab with chEmotherapy as first-line treAtment in advanced pleural Mesothelioma-a phase 3 randomised trial,19,Article,BMJ Publishing Group,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123816168&origin=inward
85131936302,Clinical evidence for synergy between immunotherapy and radiotherapy (SITAR),6,Article,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131936302&origin=inward
85111559406,Changes in expression of PD-L1 on peripheral T cells in patients with melanoma and lung cancer treated with PD-1 inhibitors,8,Article,Nature Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85111559406&origin=inward
85100957414,A phase 1b clinical trial optimizing regulatory T cell depletion in combination with platinum-based chemotherapy in thoracic cancers,10,Article,Taylor and Francis Ltd.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100957414&origin=inward
85090011637,"Durvalumab with first-line chemotherapy in previously untreated malignant pleural mesothelioma (DREAM): a multicentre, single-arm, phase 2 trial with a safety run-in",18,Article,Lancet Publishing Groupcususerv@lancet.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85090011637&origin=inward
85080949055,Antiangiogeneic Strategies in Mesothelioma,4,Review,Frontiers Media S.A.info@frontiersin.org,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85080949055&origin=inward
85069055996,Dexamethasone differentially depletes tumour and peripheral blood lymphocytes and can impact the efficacy of chemotherapy/checkpoint blockade combination treatment,8,Article,"Taylor and Francis Inc.325 Chestnut St, Suite 800PhiladelphiaPA 19106",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85069055996&origin=inward
85068674709,Immune checkpoint inhibition for the treatment of mesothelioma,3,Review,Taylor and Francis Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068674709&origin=inward
85058574401,Tumour associated lymphocytes in the pleural effusions of patients with mesothelioma express high levels of inhibitory receptors 11 Medical and Health Sciences 1107 Immunology,12,Article,BioMed Central Ltd.info@biomedcentral.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058574401&origin=inward
