id,title,type,publisher,link
85109066507,How to Better Understand the Influence of Host Genetics on Developing an Effective Immune Response to Thoracic Cancers,re,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109066507&origin=inward
85091053509,Voluntary exercise in mesothelioma: effects on tumour growth and treatment response in a murine model,ar,BioMed Central Ltd info@biomedcentral.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091053509&origin=inward
85119456981,Immune checkpoint inhibitor therapy for malignant pleural mesothelioma,re,Elsevier Ireland Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119456981&origin=inward
85103899475,In vivo noninvasive preclinical tumor hypoxia imaging methods: a review,re,Taylor and Francis Ltd.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103899475&origin=inward
85087693251,Immunopathology and immunotherapeutic strategies in severe acute respiratory syndrome coronavirus 2 infection,re,John Wiley and Sons Ltdcs-journals@wiley.co.uk,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087693251&origin=inward
85083574480,Coronavirus disease 2019 (COVID-19): A literature review,re,Elsevier Ltd,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85083574480&origin=inward
85091633874,Enhancing the efficacy of immunotherapy using radiotherapy,re,John Wiley and Sons Incinfo@wiley.com,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091633874&origin=inward
85130908036,Comprehensive Testing of Chemotherapy and Immune Checkpoint Blockade in Preclinical Cancer Models Identifies Additive Combinations,ar,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130908036&origin=inward
85128981598,Interferons limit autoantigen-specific CD8+ T-cell expansion in the non-obese diabetic mouse,ar,Elsevier B.V.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128981598&origin=inward
85136581324,What is Kindness in Science and why does it matter?,no,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85136581324&origin=inward
85105643650,Malignant Pleural Effusions—A Window Into Local Anti-Tumor T Cell Immunity?,re,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105643650&origin=inward
85096648499,Tumor Infiltrating Effector Memory Antigen-Specific CD8+ T Cells Predict Response to Immune Checkpoint Therapy,ar,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85096648499&origin=inward
